sentiment,text
-1,quick catch up on missed neighbours  poor libby
-1,@passano what are you talking about it was scary
1,da farï¿½a is on the table
1,@lindaalexander not laughing cuz yes i do
-1,@laurenmacdonald  i want a black coffe from timmies
1,waching parent trap
-1,it hurts now
-1,httptwitpiccom5eyub   only on vote for chase
-1,@aubreyoday awwwww man i wanted a call
1,day 2 of workout was awesome i feel amazing
1,@mrcartersnurse yessss in november
-1,in bed all day with the flu i ache
-1,slowly disappearing
-1,wants to go to henderson waves to take pics
1,@binnini24 whats wronggg call me
-1,tornados the one thing i hate about summer
1,@technosailor use a really fast shutterspeed
-1,the mist worst movie very
1,ds or writing hmmm bitta both sure
1,my last day with 14
-1,@ickleoriental singtel has mad mms charges
1,shutter shades from sweden arrived today
-1,@tiamowry that is beautiful  very happy for u
1,its my 18th in six days baby
-1,@zutradio no i am not
1,@jennshallvey hahaha      sweet dreams
1,@akbaramaru yeaaa i know bad innit rude boy
1,@whojedi  youre welcome
1,@officialtila  thats the way its supposed to be
1,wants more followerslt3 please
1,@paulosousayt good luck amp have fun
1,@snipeyhead that is ok plagiarizing is tip 134
-1,pancake sunday one of the last for a while
-1,clue was awesome but my voice is gone
1,@ucchie oyasumi nasai  best wishes from turkey httpturkishenglishtutorblogspotcom
-1,@sparklysays cant see it
-1,@enliytenme where you goin butt hurt i cant go
1,rt @pupule aloha and welcome to @jadamsesq
1,@agentdelblaine yeahh
1,loving one tree hill tonight
-1,flying back to ny
1,nicks link is httpbitlyzfpum  @youglevanrental
-1,doing homework
1,sf with steph
1,always looking to expand my twitter network
1,@ninnoart gather my creativity
1,having a nice chat with peter
1,httptwitpiccom6rg4l all in for repair
1,i have the cutest wallpaper
-1,@gabrielsaporta why you didint come to poland
1,@dianashamdai arent i the best
1,found it finally i can rest in peace
-1,@sablekitty feel better sorry to hear about your fishie
1,9 days till orlando
1,rainy day againplease some sun for my bday tomorrow
-1,good night world  oh so tired
-1,@cksfriday only a week this time
-1,he just came home i dun get it
-1,flight delays at bwi
1,@nighttimelies it means you are okay  i think
1,@ericaeeks yummy i love chili
1,@tonyvirtual thanks im willing to try some
1,@furrytom thats some nice bacon ya got there
1,@jaclynracpan hahah lol its just one photo
1,@juanitothegreat youre supposed to yell back
1,good morning
-1,miss school lol tomorrow horrible day exams
1,goin shopping
1,kate to win the apprentice
1,@noushskaugen was there 2 weeks back
1,new hair cut
-1,swim team monday
1,@xmemy vã½bornä
-1,back from easter holidays
1,@backstagejbj songits my life
1,@suecookcom happy days did you frock or dinner j
-1,gets to work again during this nice weekend
1,@f1tzy1 welcome back to this fair isle
-1,@yearsoflead aw dude bum out
1,@cyantist hey how are you write back  x
1,@novemberlight much better quotknow herquot respect and loyalty
-1,bed time
1,@rockonrebelchld happy mothers day
-1,@drcarlislecu oh
-1,@curvilicious that sucks ass
1,swingen@ the fayeeffuif
-1,the hardest part of homework is deadline
1,@infoninja target women  spot on
-1,my dads being such a btard to my mom
1,@toolface win indeed
1,@chichi7391 thank you
-1,im hungry  my head hurt
-1,i just wanna go home
1,@michaelmknight thanks
-1,headache
1,@geenaelliott are you starting on me
1,mtv movie awards right now
-1,@vegansarnie doh thats twice ive missed them now
1,@edmarsh holy moly and congratulations
1,life is really good
-1,might of just killed a squirrel
1,@90angel haha coolnesswell welcome home
-1,cant sleeep  time for ben and jerrys
1,my first message
1,happy mothers day to your mothers
1,morning twitter  first day of fourth year today
-1,last day of the convention
-1,meine mutter ist flying out tonight ill miss her
1,@gfalcone601 httpbitlyfijea  offical new moon tralier
1,@therealrkb  am all about thisssssss
1,going to attempt to get my permit  haha
-1,studying for exams
1,packing my bag to krabi tomorrow minivacation
1,@raachxx lazy bum p oooh i got tweetdeck
-1,@justjared condolence to david cooks family
1,@blokeslib re frazer islandsounds magic  hollywood stuff
1,headed to anc to watch the talent show
1,@coonassdotcom hand to ear waiting
-1,developing estimates  for fun and pleasure
1,@clark116 doesnt surprise me
-1,shut up monkey i just lost 260
-1,i have a massive headache
1,@oxcatalina being a creep  httpmypictme1zn5
-1,swimming through wordpress themes and not doing well
1,@someone483 thanks  have a good time you
-1,@jonnyvengeance loll no ms shek
-1,workin
1,httpwwwideafindercomhistoryinventionssmileyfacehtm have a nice day
-1,but no snowman mix to choose  â« httpblipfm7ou09
-1,what an awful day
-1,@mcraddictal its okay
-1,peope are still up lol cant sleep
1,@ellocomarko were starting a new dnd 35 campaign
-1,@djonpoint good morningbabesim sick
-1,@takingnames but he might get sad
1,@kitcat1974 its whats for dinner
-1,@syeck  shes gona miss you ladybug
1,130 am and im finally home
1,httptwitpiccom5f11u  at google headquarters
1,@moofta sounds like a good plan
1,thought friday would never arrive this week phew
1,its hump day
-1,@sandrarazo1 gooood thats so stressful im so sorry
1,@gkokoris i think you may be right
-1,my potatoes keep falling on me
-1,cant stop listening to so high
1,andyhurleyday
1,@sarahjanes i knowi gotta think on this one
1,deleting my twitter holla
-1,awake @ 6 freaking am  couldnt sleep
-1,whats the footy show without matty johns
-1,stillllll editing
-1,tired exhausted
1,@craigsbeardwax lol megadeth
-1,my 502 prof isnt dr ramos
-1,@itslushotology when are you gonna follow me
1,and then it turns out quite fine
-1,master j snuggled in bed time to clean house
-1,thunder storm again seriously i hate this
-1,awww i really miss him   tt
1,we can fix that@dahlbyk     stlmosscamp
1,@keshiaford yes maam
1,@selenagomez is that from a song  8 x
1,@miaqueen i always do thatdont worry  haha
1,hi monday i actually dont mind you this week
-1,@joelyrighteous  hope tomorrow is a better day
-1,@ecrisappeal er hem what about my shout out
1,@asterayk ê±°ê¸°ê¹ì§ ìê°ì´ ë¯¸ì¹ë íëªí ìë¹ìë ì¤ë²ì ê°ì§ ìì
-1,@alcedine httptwitpiccom7lq63  ouch d what happened
-1,feeling very low today got a horrible cold
1,loving the cricket today  x x
1,@mikeeeeymike good morning cupcakes
1,going to go get my hair donelighter
1,@openhappiness
-1,thinks the kite runner is the saddest book ever
-1,just wants to sleeeeeeeep
-1,i really dont wanna do my hmwk
1,watching air force one
1,is watching tokio hotel live in europe
1,finally leaving this place woohoo school time
-1,please be safe  i have to go now
-1,twitter is having down time
-1,@psyche please call me your number has been lost
1,@zatannna my background here is another 
1,cleaning my car
1,@seemeplease07 doritos lmao  eat eat eat
1,says what a wonderful morning  httpplurkcompz6fzm
-1,@mrs757 oooo kay
1,@lindsayslifee hey girl  i miss you lt3
1,belting next to normal is a fabulous evening choice
1,@wearetheused good morning
-1,in school now i dont understand anything
1,@fox2mike @technofreak loves hunting bugs
-1,holyst drop by 1  64 wongsablengnet
-1,about to do maths test
1,on the way to spotlight busy busy day
1,@umeshdhingra thanks man
-1,wishes everyone could get along
1,hello how is everyone another bbq day
-1,@coops819 he died silly
1,is happy and feel super loved  httpplurkcomp11bybe
1,citizens advice has joined twitter say hello to @citizensadvice
-1,i want a holiday
-1,@kah87 omghowd u do tht
1,@nataliemorales natalies tend to be fascinating
-1,finallllllllyyyyyyy now im too lazy to start my work
-1,@5hadz why
-1,had to make a new twitter account
1,@mj003 nope sorry
1,@fashionexport hehehehhee votarem para os quothotsquot do twitter
1,@eroneh8zderek ur more then welcome
1,@splateric fab thanks
1,just arrived homefrom noche de galeria
1,yw  @iconic88 good night
1,@personified i hate when that happens
-1,im ruined
1,@lipslikesugarr i hope you have a good time tonight
-1,i cant get over you
-1,this little guy looks so dejected  lol httpbitlyovb6h
-1,@meganrogers im inside its raining and cold
-1,just ran out of oj saaaaaaaaaad
1,@isz so u puttin up or what
1,dreams create life
-1,@truffle stop teasing us
-1,i miss my boyfriend
1,@patriciamilcah hows d concert polka
1,letting steve know that nobody cares
1,@joanofargghh woohoo congratulations joan
-1,well i guess ill let ya go to bed
-1,is driving back to rainy northern california today
1,such a lovely evening lots of  funny games
-1,@kirstiealley uh oh are people being mean
1,@bladon92 i think ive got it now
1,bed time goodnight
-1,driving to church practice all day
1,@savorysweetlife awesome thank you
1,@herromega their tobbe
1,@shennyunho ok lets do it
-1,@vaporofnuance  hope hes alright
-1,has not slept yet
-1,maths exam today 
-1,i need to lose weight
1,the sparkly vamps rawk mtv and oh poor eminem
1,off to london again today wish me luck
1,@djwhelan @eveblackorwhite rofl
1,httptwitpiccom6rb5j  best thing ever
1,@pinkavenue morning pink
1,@iheartrachael lol yepp
-1,@bagwaa yeahsorry
1,@twid amen mr glassishalffull
1,bored follow meeeeeeeeeeeee  amp ill love you forever
1,@grum hot white choc is so good
1,neww phone soon  moms work today wooohhhh
-1,@vintageeclectic i wish i just dont work till 2
1,good morning sunshine
-1,finally making that doctor apt for my knew
1,night twitter i have a really nice bed waiting
-1,bgt so gutted stavros did not make it
1,please hand over my diploma already thanks
1,@buckhollywood httptwitpiccom6u5nq  yay happy birthday
1,wide awake   not
-1,@finchygurl99 yea that sucks monkey balls
1,@vivka me too
-1,@ddlovato nu uh i cant find it
1,@jcreemer   its pretty bad in here lol
1,@themakelounge ewwwwwww enjoy the sweaty yoga
1,httpisgdrvtw amp httpisgdrvve two new photos from yesterdays commute
-1,wishes my net was at its normal speed
-1,love how its 630 and im still at work
1,mornin  off to a busy day
1,sonny with a chance special today   yayy
-1,@ilavaurface sarcasm is something that hurts people
-1,ughwhy am i still awakesomebody chat with me
1,@supashley my guilty pleasure  have fun
1,back to the tv
-1,i feel  weird  shoot
1,@30secondstomars whooohooo we are so going to be there
-1,xbox live is down and will be until tomorrow
1,this is war marsiscoming marsiscoming marsiscoming  echelon unite
1,@luvsgigglin pet rock doesnt need hello kitty bandaidbut thanks
1,i cant wait for monday night tv
1,just got back from chillen with paco
1,httptwitpiccom68wkc  all paid up
1,thanks for adding me  bedtime for this dudette
1,@ebrock  thanx im sumwhere on 75 now lol
-1,httpbitly5syn4  its true
-1,ughhh my tummy
-1,@monniquinnha they left
1,@razdial glad we could help
-1,is finding twitter weird
1,tired going to catch em zzzzzsss
-1,@piousknob  want me and pembroke to kiss it
1,to @webanime and @tbaggins1 thanks for following me
1,lakers kilroys with my beezys love summer
-1,grrr  why is my tum misbehaving
-1,grandparents were in a bad car accident  fml
1,@cdeliens thats a lot of pictures  20kmbxl
1,@kirstiemallsopp you would be great on the apprentice
1,stay  the veronicas
1,@treeman79 do it
-1,going to workhungry cuz i woke up at 730
1,is house painting today
1,changes are near great
-1,@moodaisy1978 holy shit we totally jinxed that friggin lame
-1,is sad and alone
1,ah hgtv is lt3
1,had a great night with rachael
1,but she is not the father i promise
1,hell yea baby @lakers won finals
-1,dont wanna work tomorrow
1,this is going to be awesome going to bed
1,happy birthdaaaaaaay @joycelyn have a splendid day ahead
-1,just woke up with a headache
-1,i want miles aldridge books ï¿½75 a book though
-1,@eliiiiza woolworths geelong west my local
-1,im cold  and sick
-1,why cant i write anything
-1,shouldnt of had a coffee at 9pmcant sleep
-1,@stephenfry awwww bet your sad now  lol
1,@joyceeee love you too  lt3
-1,is unable to upload her photo
1,@thediamondcoach and life is good
-1,attempting to sleep my puppy is sick already
1,bahahahahahaa fish bowl of alc 
1,@shash yes  skype me
-1,im in 4th period    boring class
1,i love that i can sleep now  lol
-1,negative savings
-1,@jordanknight connection interrupted cant vote
1,httpbitlypbre3  @carolineco 1 year anniversary party photos
1,i feel like east coast swing dancing
-1,im just trying to writewriters block
1,@joelmchale ill be there saturday night
-1,@itwittmyclit im jealous i wanna nerd out
-1,school time im not feeling too good
-1,@allisone84 id be driving alone though
1,i want a yummy apple
1,@mcraddictal hiii
-1,with my munchkin @ the vet his sick
1,@ladiiwallk haaaa we have the same name
1,i love you popi    taylorrr
-1,@nicoleyumang i was at that game  blowout
-1,feels out of the loop
-1,bye world
-1,@h2ofreemann i cant hear any of you guys
-1,is so sad
1,@dominicscott it might float away watch out
1,@alyssarenee poor girl i hear ya
1,@bigking15 no thank you
-1,@roxietexasbaby im sorry to hear
1,@jreighley sermon illustration for ephesians 417  futility
1,great weather for driving with the top down
1,@peterjthomas you are welcome
1,just had fun lunch wa good friend
1,is back in action
-1,im so mad in not going to orlando today
-1,just waking upi miss my celly
-1,@tbones i miss the gym
-1,@talihinaruth oh ruthie thats heart breaking  hugs xx
1,okay i googled it i take that back twitter
-1,is so stressed out
-1,our electricity went out
-1,in french
1,@spems @t55 shehulk
-1,i think i caught a fever
1,@jeffwhite34 hey  thanks for replying
1,@itstrue try hand sanitizer
-1,is stressed out with school
-1,@roguebluejay noooo dont be a nerimon and delete everything
1,movies with the fam
-1,@hyperdrive but we know that qc has those issues
1,@nuttychris i know they drink moreu need more pubslol
1,@justharmless are you the voice of reason ever
1,@missdestructo thank you
-1,my face hurts
-1,@carly dont tempt me i cant afford another concert
1,is having a very lazy day
-1,bummed out on a friday
-1,@jonjon112687 i miss you  come couch cuddle plz
1,so tireddd plans for later txt
-1,listening to bmth
-1,updating information on the system taking ages
1,waiting on a phone call hoping for a job
1,@msicandisexyiam good i hope ur smiling still
-1,hotel rwanda is sad  but good
-1,@lyricalgangsta sadly no totally erased from the list
1,time to sleep goodnight twitter
-1,my picture wont be displayed
1,ohh yeah im back guys
-1,@grshane yes i am it sucks
1,@bmisunderstood awwwww heres another sympathy tweet
1,and with the bed quoteim off to find mine
-1,@aimeefausser thats horrible dear
1,@abeautifulmind1 haha i like that
-1,exhausted
-1,httptwitpiccom7xxzh  good times
1,prom is tonight
1,finish shower now watching tv
1,ill be grand
-1,i dont know what i am going to do
-1,my stomach hurts
1,is rooting for fed ex
-1,@utaricn i miss youuuuuuuu
-1,how do you know if youve got tonsillitis
-1,is awake too early and not feeling happy
-1,back 2 work  lunch was not long enough
1,love youuu ficeeee
1,@dancer4life13 see you later
1,@drw0427 you are official the coolest
1,looks like i have another vaca spot @seagrove beach
-1,@tdlq awwwwshes not on
-1,@dapacheco it was too hard
-1,iâ´m dissapointed because i had fallen an exam
1,@townii whats up townii imy
-1,@champishere dang  keep me posted
-1,mir every single morning i feel sick
1,@ninjastalk hey babee  love yoooouuu gtlt rp time
1,@atlantisjackson hey there
1,uploading a video in youtube
1,heeeey follow pease @jonasbrofan please please
-1,do i really have to get up
-1,doing nothing todayy eeerruuhhhmm iphone twitter still isnt working
-1,@amiemccarron omg lolonly not so funny right
-1,missin him all fkin readyyy df
1,home gonna read my new book
1,@thehungrycoder rather use php in cli mode
1,ikea with my baby
-1,i am sooo lonely
-1,that im miss my dad
1,@breeannarose hahaha ohh okay thanks for clearing that up
-1,really full from chipotle dont wanna work
-1,tired but cant sleep  reading eclipse
-1,goodnight jay leno for the last time
1,@debonaire0ne ok that made me blush
1,@interweavenews thanks for the link that is rad
-1,and now back to work
-1,rip @hank4014
-1,@bclub still no shirt
-1,@madilovesmerder aww thats horrible  im sorry
-1,my tummy hurts
1,jack johnson sounds good
1,@xsuzzyx gurrlll i needs to cut my hurrrr
1,summer needs to hurrrrry
-1,not gonna be a good week
1,@exoticqtee u a learn
-1,my head really hurts
1,pretty sure tomorrow will be great
1,is like thinking schools out in 2 days yesyesyes
1,@saojn pm lee so we have pm sho
-1,geography and english tomorrow
1,moviesss
-1,@jamie127 damn i missed you again
1,@nish7x  oh great 
1,@himanshuseth arey wah welcome to twitter
-1,omgeeeezy this is very jank
-1,@nayedene sunday after 4pm makes me saddddd
1,httptwitpiccom6pw12  sunglasses are great in arizona weather lovesss
-1,oh no norwich for relegation
1,i turned this bad day around things are good
-1,@dpmhaus  its not that cheap that i thought
1,going to get something to eat
-1,@86753o9 i wanna play too
-1,@streko @1938media wont go  hes mean
1,@randomwhit naughty
1,@mcrchick  thxs
-1,has a headache
1,just chanqed my backqround
1,im here againbut with little time
1,im doing nothing hahaha
1,@tommcfly cool  i cant wait   xxxxx
-1,@spacerbunny im sorry hun  that sucks
-1,@mileycyrus yea i have the same problem
1,@littlesunflower happy birthday hope you have a lovely day
1,@realbillbailey we must play poker sometime
1,rockin 2 ipod on my way 2 school
1,@rafaelmarquez by appreciating those that do run
-1,conclusion  bryan sucks in bed
1,@andrewrickmann i wish id seen that before thanks mate
1,ive created the official website for my band wwwdarrastaocom
1,@thesoniag  httpmcskywalkerblogspotcom add my blog
1,packing my stuffs off to cagayan de oro tomorrow
1,@mrreasonable you get lots of gaming cred for that
1,@bexielady it is fun  how r u
1,should be updated later today
1,@brandonsmithceo happy birthday @brandonsmithceo  have an awesome birthday
1,@undeux xoxo thank you love
1,happily stayed in bed until one today
1,@oooannieooo  morning sunshine
1,httptwitpiccom5oydo  good morning albuquerque
1,it was fun yesterday  i love my familya
1,working on my suntan
1,going to twitter in english for my foreign followers
-1,go home already  not used to this
-1,packing for allen for the week
1,hello to all of my new followers
-1,@lissa121  clean me
-1,@desolatepages thumbsup ditto but trace cyrus scares me
-1,my throat has gotten worse
1,just beat resident evil 5 i feel so accomplished
1,@siredwardcullen i know nothing k maybe
1,nice having reletives over
1,@justjac no problem
1,good morning sunshine haha
-1,umm off to work
-1,nothing stinks more than getting sick on vacation
-1,doesnt know what to cook for dinner
1,bbq and ufc with jokke and marius
-1,my ash tray has nothing but pennies in it
-1,@xosnowkissedxo join the crappy club
-1,i am addicted to twitter
-1,at skl exam 2moro this sucks
1,@ladyblackdove will do kathy
1,pictures
-1,@glastowatch no not yet  glastoticketfail
1,@mgbraden good looking family
1,is now home  nakatulog httpplurkcompvfie0
1,thats sir christopher lee now
1,@retrolarry you know you have quite the radio voice
1,@amyj859 amywas hef there
-1,i want my jelly
-1,@loloroxbaby  i know
1,home for the night
1,at target
-1,@playboy i would but you didnt provide a link
1,gradddd  uberexcited 060409 2009 whhhaaattttt
1,8123 means everything to me
1,@bpfox regret that sounds divine
-1,wishes he had more money to buy wine with
1,boooo cindy
-1,@misskellyo i understand you
-1,gonna miss them
-1,@satyrrr what happened
1,relaxing
-1,headache
-1,ughh so upset about my grades this semester
1,@insammityy congrats do some on wednesday
1,@diekathychan thanks
-1,dusting  not napping
-1,doing homework
1,@drrus awesome song truly
-1,@anamusinghat omg me too
-1,i have too much to do
-1,work on sundaymessed up june weather equals fun
-1,needs a personal day
-1,wants to go go the paris air show
-1,somebody slap me im lovesick again
-1,@eddieishere youre so unsympathetic  dont like you anymore
1,httptwitpiccom5cczg  sushi with the ginas and christine
-1,stupid old 95 saturnradiator just overheated and leaked
-1,@thfanvee ow thats not good not good at all
1,@dalegoo91 yea ill give you a game later
1,up in the ville  haha
-1,is starving but nothing looks appealing in my fridge
1,watching sister act
-1,voting is playing up again
-1,@lyricistjuice lol who should i idk
1,@alexisstar22 hey what up sammy
-1,i miss my sistersaturday cant get here soon enough
1,@leftyswag plenty of great geek girls here man
1,@j0hnnyv true that
-1,my doggy was put to sleep
-1,@edenmariee poor eden  what did you do now
1,@blueshift155 mine too
-1,@marleybean booo hiss booo  meow
1,jonas brothers playlist
-1,@beatrizx poxa
-1,oh bollocks i have a tshirt tan
-1,is very bored
1,@mileycyrus love you mileeeeey
-1,sleep time is now
-1,@downtothewire eyyy is that all
1,my night to cook  i choose avantis
-1,@mollypriesmeyer oh mani hope you dont blows up either
1,going swimsuit shoppinggggg
1,lets go to work omg
-1,@adamschwabe mine just broke after i bought replacement brushes
-1,i cant believe mark from ftsk got swine flu
-1,def missin the bus  rite now  damn
1,is lovin this dude
1,i lt3 lily allen
-1,i am not feeling well
1,@cshawyer omg i love that film i own it
-1,has work in one hour  mr j
1,waiting for the jonas brothers november
-1,@chrisagriffin oh sorry my bad
-1,missed my song on the radio
-1,@xsub1 you spelled it wrong
-1,it wouldnt upload onto facebook either  httptwitgoocompe1h
-1,the girls are frantically packing and im sad
1,@khushi4all  k i lose and am tongue tied
-1,will skip fete de la musique this year
-1,i wish i had company
1,just swapped rayban aviators with her bestest friend
1,@lemongeneration ps wentz shopping i just heart you
1,@superstrhotee lol just ignore dont worry about it
1,@thisgirllovesit love your pic too
-1,hahaha i like twitter buti dont now something
-1,@griffey yeah i was excited at first too
-1,exam today
-1,@rhonniemcfly what about me
1,@ihollee was that the right codeee
-1,mean people suck
-1,@honorsociety i never get through
1,follow me if you love twitter
-1,does not like to enforce rules
1,@absharina awwww sharr thats really cute thank you
-1,cannot be fucked getting up and ready  x
1,@tiffanyrad congratulations
-1,just had lunchy  munchy  it was crap
1,one more hour and im free woohoo
1,over 8 months now
-1,@sw7806 hey be niice swearing isnt nice
1,yumm chicken noodle soup
1,@davidrocks08 yes he is
1,@mrtweetalert  thank you kindly such a sweet tweet
-1,yay my date totally just left shes sick
1,is smiling politely
1,is about to get together with her hot bandscapers
1,check out @rinnavation for @lisarinna s new bookgreat one
1,is having a wonderful birthday so far
1,aww working and watching penelope i love my job
1,@foobar2k two epic wins in one day good work
-1,i dont understand twitter at all
-1,now crying
1,@loritodd your topic could be iphone app design
1,stooooorrrrm yay
-1,is sorry its raining for the thomas walk
1,@ksymmonds love it  marmite rules
1,@catep36 ey ey im too cool
1,@hezmcfly hehe lol  you a futuregirl dd
-1,im soooo hungry  someone bring me food please
-1,getting a little lonely tucking myself in at night
1,@thisisrickc go rockets
-1,please go home naaaaaa
1,is bored like hell
-1,id kill for a beer or two
1,boston in june i cant wait a whole week
-1,@djsirvere cant blv ur not here tonight
-1,going to work
-1,oh great need to tidy my fucking room
-1,@dawnchamberlin no def rubbish tonight
-1,cleaning my house
1,@timis first week  of oct
-1,@jonasbrothers i couldnt buy it today no money
-1,my summer plans just fell through
1,@tannyajoaquin and theres 500  httptwitpiccom3i7dt
-1,my hand just feel asleep
-1,im still not sure how all this works
1,chatting with tom anouschka joshi lars dewna
1,watching twilight again
1,@basoup 
-1,@grungeronblogtv now ur picture is insulting to rice framers
1,wants to run across the us like conan
-1, sort of headachy
-1,@therabbisfabb the company who created his blog posted something
1,workin later listening to framing hanley
1,back now boardie shoutout yeyeyeyeye good times
1,@chazzycat morning
1,@coldnosephoto ha love it
-1,nothing at the coyote the search continues
-1,why am i here
-1,money laundry class boring  and im hungry
1,is finally feeling better
1,whoo some jumping contest at lil sis kindergarden
1,@betshopboy its ok try again
1,mmm breakfast tacos and coffee
-1,uhmmm will i get married
1,hahahahaha  oh rob  forgot only his password
1,@stfucatherine i shall be on it after dinner
1,congrats diversityu totally deserved it 
-1,@theduckie me too
1,ravenous ravenous rings by ismfof is the sex
-1,is hoping the severe weather doesnt get bad tonight
-1,cable down  no internet   fb
1,prriiiide in the morning
-1,@igniitus i havent turned my wii on in months
-1,omg wow great night time to go home
-1,@shondoyt butbutwhy does it have to be tough love
1,guitars mcfly wheyyy
1,@tiffanyld im sorry  jk paramore are decent live
-1,last advisory
1,the opening of the fair is tonight
-1,has a tummy ache
1,is tapping marina and the diamonds
1,@keithdriscoll no problem thanks for the great link
-1,@michelinebailey after radiation dogs naresjust not hungry
1,the food here is 3ajeeeeeeeeeb
1,jesse m is awesome  lti lt3 shaygt
1,@ambertraffic thats her  date 4 tonight
-1,awww max got sent home
-1,omw back from the valley phones gonna die
1,omg i love this  summer stormshail xd
1,creg watched milk with me and liked it
-1,loving on my poor puppy
-1,iceweasel does not like tweetgrid at all
-1,sick going to bed super early
-1,liesliesliesyou just cant avoid to lie about practicallyeverything
1,@ecco5 why fight it do it
-1,mmmmmmconf calls after conf calls bouh
-1,@reyn84 we miss you to
1,gogogo move up by 2  102 ardhindiecom
-1,missing sydney amp missing the skinny me
-1,@iamjersey misss u
1,laying out all day
-1,i need a new online name dammit
-1,@julieem dude im sick
1,good morning
-1,said goodbye to sam and rachel
-1,@avbmenon i didt see it dude
1,@jhall510 thanxx
1,cleaning my room
1,happy juddday
1,@mediahunter  great link
-1,free movie was sold outwtf
-1,damn rain looks like the hoppings trip is out
1,i saw hangover it was the shit
1,@smashadv good answer
-1,@cashews417 year or so nooooo
1,@lynnbryn haha good mornin
-1,aughh drop by 37  88 instablogscom
-1,last day at schools going to miss my clasmates
-1,i miss my family in texas
1,hangover dankkk movie
1,@souljaboytellem never replysihate being is virtualtwitt groupiegeeze lol
1,@twitrbackground thanks for the amazing backgrounds
1,@songwriter246hope u guys have a blast
-1,@lizziexoxo noooo  make a new one haha
-1,work makes me sore
-1,out ampamp about lowkey turnt down
1,@charlieskies sure im sure thats wht you think silly
1,@kdoth hi there
1,quotcapeeshquot haha love susan from desperate housewives
-1,345 am and i cant sleep
-1,why cant i fall back asleep
1,@aerotronic send when ure done
-1,moving the furniture is fun but now im hungry
-1,damn lost the 3g connection
-1,doing my jrp still
1,@jenakagorgeousb happy mothers day to your mom
1,blue mountain dew yummmmy
1,@tommcfly haha owwn tom was beautiful in faustã£o today
1,@oldhatan hi  how are things coming along
-1,i wish i was pumping it up
1,@mmkrill brings back memories
-1,@temptalia  i didnt see you
1,is now in love with the hills
-1,@caseywright they all look so sad
1,@indiemoviemaker sounds like you have a plan good luck
1,might go to the ex next saturday
-1,@ joose day party and bored
-1,@mskathy ouches
1,i love swimming summer dayss
-1,lost my madden mojo
1,the power of friendship  httptinyurlcomcenspn
1,@jameswilliams hey james not too badthanks for asking
1,watching hatching pete
-1,sadlyno young ladies have respnded to my open invitation
1,watching brothers and sisters @johncmayer i love you
-1,@macrumorsrss your links are cut out  annoying
1,@phobia2 canï¿½t wait to listen to your new tracks
-1,whhhhhy is it freezing out
-1,not a fan of getting owned by my dog
1,@psmichelle good night
1,just got up chocolate cheesecake for breakfast i think
-1,working through hundreds of assignments
-1,melody miss you soo much
-1,hangover
-1,@irdominic my water bill is no joke
-1,httpbitlybd0rm  so sad for that foot binding 
-1,i miss my wittle chunckerz
-1,needs a hug  
1,going to dc tomorrow
